sewershed_ID,date,reported_cases_by_week,Rt_qPCR_N1_average_copies_per_ml_wastewater,ratio_Rt_qPCR_N1_over_Rt_qPCR_PMMoV,ratio_Rt_N1_qPCR_N1_over_flow_millions_gallons_per_day,population_size
total,2020-08-03,475,NA,NA,NA,327179
total,2020-08-10,1112,NA,NA,NA,677029
total,2020-08-17,1081,41.539378514463266,4.262510663057034e-4,4.9527838133818385,765417
total,2020-08-24,918,171.3270952245622,1.886345929314904e-4,9.68263062170037,765417
total,2020-08-31,842,11.84118395899179,9.443216444548588e-5,0.4023612490899194,765417
total,2020-09-07,842,38.88379557868706,1.4228111313417335e-4,1.3997293337701295,765417
total,2020-09-14,961,39.19901695948551,0.00318704470560557,2.4693396564597876,765417
total,2020-09-21,1040,120.56860599545205,0.00598859021128263,5.450380660480734,765417
total,2020-09-28,1203,7.797088838096335,1.173840467395838e-5,0.7187905776282691,765417
total,2020-10-05,1470,23.399138989641695,2.4588771291416662e-5,NA,765417
total,2020-10-12,1625,27.54206299920668,3.3610168024858816e-5,2.947215456197193,765417
total,2020-10-19,1925,19.62679346106059,3.778052567505511e-5,1.0648765896073165,765417
total,2020-10-26,2497,86.52272259947584,9.057999141497024e-5,3.322059980520638,765417
total,2020-11-02,3280,125.28335471964024,0.00124869220612899,6.398992082328462,765417
total,2020-11-09,3655,57.65053313306718,8.570040258309537e-4,4.637621371853463,765417
total,2020-11-16,3277,115.96037453278626,4.369046326673917e-4,7.603284773344079,765417
total,2020-11-23,3248,105.65490069960735,3.0665884530819943e-4,5.208584074609767,765417
total,2020-11-30,3102,118.98128974874132,4.7820513247279553e-4,4.362923254145679,765417
total,2020-12-07,2741,155.10239025292825,2.0796125758339184e-4,8.809861608108035,765417
total,2020-12-14,2128,91.44518932143971,3.069806829992526e-4,5.584473473487739,765417
total,2020-12-21,2284,NA,NA,NA,765417
total,2020-12-28,3078,NA,NA,NA,765417
total,2021-01-04,3256,49.79290053808375,5.087256004038918e-4,2.4801688981619097,765417
total,2021-01-11,2960,72.45137724458002,4.3379422218345137e-4,3.0678120381277214,765417
total,2021-01-18,2379,51.20879080549481,1.1483151815261324e-4,3.3405812729667397,765417
total,2021-01-25,2274,269.08397894896035,6.015220178468433e-4,6.39762463430178,765417
total,2021-02-01,1925,50.78605590602266,6.668140092916986e-5,2.2616543824037563,765417
total,2021-02-08,1522,53.54286290087604,3.043017522164766e-4,2.572338212885891,765417
total,2021-02-15,1205,33.46800557964372,1.904086146916941e-4,2.2175119440289905,765417
total,2021-02-22,1027,57.17655548914073,2.2508812157099304e-4,1.868055569507602,765417
total,2021-03-01,835,30.195155287048244,3.1978954329183254e-4,0.6194808627236127,765417
total,2021-03-08,660,40.651642183399346,2.9564718749627687e-4,1.6464034192077843,765417
total,2021-03-15,676,17.043742001610617,1.138014190685441e-4,0.7286000991005562,765417
total,2021-03-22,504,56.649694307112725,2.661329510308382e-4,0.8558051764895889,645760
2,2020-08-03,439,NA,NA,NA,295910
5,2020-08-03,36,NA,NA,NA,31269
1,2020-08-10,592,NA,NA,NA,349850
2,2020-08-10,501,NA,NA,NA,295910
5,2020-08-10,19,NA,NA,NA,31269
1,2020-08-17,501,25.119213042880837,7.78654722140013e-4,0.3285585095404669,349850
2,2020-08-17,433,32.41959413000283,1.2190526751782948e-4,0.7560425087656564,295910
3,2020-08-17,81,174.01507567765694,1.2547324463518358e-4,38.811432864682615,55928
4,2020-08-17,34,43.853962876591346,1.3785041439064725e-4,15.16348160092431,32460
5,2020-08-17,32,72.2086704042273,2.0091394318817564e-4,25.246274736439805,31269
1,2020-08-24,452,54.88049425435881,1.8216457493350335e-4,0.706727809858655,349850
2,2020-08-24,347,343.17303789719307,2.235667770456899e-4,8.290479709757516,295910
3,2020-08-24,42,50.26025641226783,5.3626947384668495e-5,10.721347873038898,55928
4,2020-08-24,50,156.0783456176116,1.0355199559852108e-5,53.04504020671206,32460
5,2020-08-24,27,80.30758793309374,3.569933477477312e-4,76.41114069600702,31269
1,2020-08-31,414,11.657196144268186,1.0807747252983278e-4,0.1375428391056461,349850
2,2020-08-31,321,14.257106985611015,1.0535828467960312e-4,0.21753987237522432,295910
